TERM,MEANING
Turkish Rose,RGB #b57281
Turquoise,RGB #30d5c8
Turquoise Blue,RGB #00ffef
Turquoise Green,RGB #a0d6b4
Tuscan Red,RGB #7c4848
Twilight Lavender,RGB #8a496b
Tyrian Purple,RGB #66023c
Ua Blue,RGB #03a
Ua Red,RGB #d9004c
Ube,RGB #8878c3
Ucla Blue,RGB #536895
Ucla Gold,RGB #ffb300
Ufo Green,RGB #3cd070
Ultra Pink,RGB #ff6fff
Ultramarine,RGB #120a8f
Ultramarine Blue,RGB #4166f5
Umber,RGB #635147
Unbleached Silk,RGB #ffddca
United Nations Blue,RGB #5b92e5
University Of California Gold,RGB #b78727
Unmellow Yellow,RGB #ff6
Up Forest Green,RGB #014421
Up Maroon,RGB #7b1113
Upsdell Red,RGB #ae2029
Urobilin,RGB #e1ad21
Usafa Blue,RGB #004f98
Usc Cardinal,RGB #900
Usc Gold,RGB #fc0
Utah Crimson,RGB #d3003f
Vanilla,RGB #f3e5ab
Vegas Gold,RGB #c5b358
Venetian Red,RGB #c80815
Verdigris,RGB #43b3ae
Vermilion (Cinnabar),RGB #e34234
Vermilion (Plochere),RGB #d9603b
Veronica,RGB #a020f0
Violet,RGB #8f00ff
Violet-Blue,RGB #324ab2
Violet (Color Wheel),RGB #7f00ff
Violet (Ryb),RGB #8601af
Violet (Web),RGB #ee82ee
Viridian,RGB #40826d
Vivid Auburn,RGB #922724
Vivid Burgundy,RGB #9f1d35
Vivid Cerise,RGB #da1d81
Vivid Tangerine,RGB #ffa089
Vivid Violet,RGB #9f00ff
Warm Black,RGB #004242
Waterspout,RGB #a4f4f9
